task,split,feature_set,heldout,train_rows,test_rows,features,train_datasets,test_datasets,train_subjects,test_subjects,status,mae,baseline_mae,mae_improvement_vs_train_mean,rmse,r2,prevalence,roc_auc,average_precision,balanced_accuracy,f1,reason
pain_nrs_regression,direct_pain_group_holdout,sensors_plus_state,,30747,10773,215,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,1.490318949183237,1.5619412501071852,0.0458546702182514,1.8163552729302759,0.0335570854559476,,,,,,
pain_high_4_plus,direct_pain_group_holdout,sensors_plus_state,,30747,10773,215,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,0.2994523345400538,0.7875660943846747,0.6143032682928806,0.68561164255148,0.551219512195122,
pain_nonzero,direct_pain_group_holdout,sensors_plus_state,,30747,10773,215,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,0.9068968718091525,0.8736465118462422,0.9853349772120445,0.6096673643348358,0.9193989776423813,
pain_nrs_regression,direct_pain_group_holdout,apple_watch_like,,30747,10773,112,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,1.5022945844944289,1.5619412501071852,0.038187521847357075,1.8392746838375162,0.009013371162926331,,,,,,
pain_high_4_plus,direct_pain_group_holdout,apple_watch_like,,30747,10773,112,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,0.2994523345400538,0.7798036212169394,0.5540262206653013,0.6948191005717343,0.5699779996615333,
pain_nonzero,direct_pain_group_holdout,apple_watch_like,,30747,10773,112,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,0.9068968718091525,0.868144899998061,0.9850132459176152,0.6096673643348358,0.9193989776423813,
pain_nrs_regression,direct_pain_group_holdout,metadata_probe,,30747,10773,25,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,1.3398898244594486,1.5619412501071852,0.14216375016185712,1.6231335356021201,0.22823849936119,,,,,,
pain_high_4_plus,direct_pain_group_holdout,metadata_probe,,30747,10773,25,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,0.2994523345400538,0.8192125174490326,0.6834083114492007,0.7781832116176117,0.6820842255531763,
pain_nonzero,direct_pain_group_holdout,metadata_probe,,30747,10773,25,"painmonit,physiopain_watch,rheumapain","painmonit,physiopain_watch,rheumapain",132,45,ok,,,,,,0.9068968718091525,0.8997080916921701,0.9890940290895398,0.7058483199327299,0.949913468390512,
pain_nrs_regression,leave_direct_pain_dataset_out,sensors_plus_state,painmonit,32364,9156,185,"physiopain_watch,rheumapain",painmonit,128,49,ok,1.9662618670022434,2.8896724230018696,0.31955544464114805,2.4656961333297867,-0.3943409892557872,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,sensors_plus_state,painmonit,32364,9156,185,"physiopain_watch,rheumapain",painmonit,128,49,ok,,,,,,0.5964394932284841,0.508153027037086,0.6122276235400976,0.4709337140045083,0.6610635456759092,
pain_nrs_regression,leave_direct_pain_dataset_out,apple_watch_like,painmonit,32364,9156,112,"physiopain_watch,rheumapain",painmonit,128,49,ok,1.97359280955265,2.8896724230018696,0.3170184987603444,2.4610717647554656,-0.38911577106140616,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,apple_watch_like,painmonit,32364,9156,112,"physiopain_watch,rheumapain",painmonit,128,49,ok,,,,,,0.5964394932284841,0.4766376116633657,0.6027830828244496,0.4563194446337283,0.6095705106526885,
pain_nrs_regression,leave_direct_pain_dataset_out,metadata_probe,painmonit,32364,9156,25,"physiopain_watch,rheumapain",painmonit,128,49,ok,1.9804491973260225,2.8896724230018696,0.31464577729932497,2.50945108732026,-0.4442665618303465,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,metadata_probe,painmonit,32364,9156,25,"physiopain_watch,rheumapain",painmonit,128,49,ok,,,,,,0.5964394932284841,0.4947781525735818,0.6038539187919285,0.4365380398193216,0.6444409986044348,
pain_nrs_regression,leave_direct_pain_dataset_out,sensors_plus_state,physiopain_watch,32920,8600,161,"painmonit,rheumapain",physiopain_watch,91,86,ok,1.5364341423489016,1.083210296463523,-0.41840799276471863,1.8134780769893228,-1.1609137734001171,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,sensors_plus_state,physiopain_watch,32920,8600,161,"painmonit,rheumapain",physiopain_watch,91,86,ok,,,,,,0.22093023255813954,0.6142602120974077,0.25819999289303225,0.6268656716417911,0.4318181818181818,
pain_nrs_regression,leave_direct_pain_dataset_out,apple_watch_like,physiopain_watch,32920,8600,97,"painmonit,rheumapain",physiopain_watch,91,86,ok,1.4902641392494513,1.083210296463523,-0.37578468753009653,1.8222794480161117,-1.1819398411293043,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,apple_watch_like,physiopain_watch,32920,8600,97,"painmonit,rheumapain",physiopain_watch,91,86,ok,,,,,,0.22093023255813954,0.673677258444619,0.3081352585213311,0.6188334642576591,0.4252775405636208,
pain_nrs_regression,leave_direct_pain_dataset_out,metadata_probe,physiopain_watch,32920,8600,22,"painmonit,rheumapain",physiopain_watch,91,86,ok,1.2468056562559304,1.083210296463523,-0.15102825400249165,1.5022368661216576,-0.4828241464029319,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,metadata_probe,physiopain_watch,32920,8600,22,"painmonit,rheumapain",physiopain_watch,91,86,ok,,,,,,0.22093023255813954,0.6135046347211313,0.2687657084965469,0.6268656716417911,0.4318181818181818,
pain_nrs_regression,leave_direct_pain_dataset_out,sensors_plus_state,rheumapain,17756,23764,187,"painmonit,physiopain_watch",rheumapain,135,42,ok,1.0024054117124563,2.3033597906981806,0.56480728032132,1.1882461966414277,0.017588439237629427,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,sensors_plus_state,rheumapain,17756,23764,187,"painmonit,physiopain_watch",rheumapain,135,42,ok,,,,,,0.04405823935364417,0.6480420248328558,0.3270973470903875,0.5038204393505253,0.015165876777251185,
pain_nrs_regression,leave_direct_pain_dataset_out,apple_watch_like,rheumapain,17756,23764,88,"painmonit,physiopain_watch",rheumapain,135,42,ok,1.0146193507890915,2.3033597906981806,0.559504618042522,1.19171716164366,0.011840646435440472,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,apple_watch_like,rheumapain,17756,23764,88,"painmonit,physiopain_watch",rheumapain,135,42,ok,,,,,,0.04405823935364417,0.6465272064195557,0.33306976897140844,0.5243553008595988,0.09289617486338798,
pain_nrs_regression,leave_direct_pain_dataset_out,metadata_probe,rheumapain,17756,23764,22,"painmonit,physiopain_watch",rheumapain,135,42,ok,3.147477590657228,2.3033597906981806,-0.3664724040802949,3.3706628857474605,-6.905170419432739,,,,,,
pain_high_4_plus,leave_direct_pain_dataset_out,metadata_probe,rheumapain,17756,23764,22,"painmonit,physiopain_watch",rheumapain,135,42,ok,,,,,,0.04405823935364417,0.7048767571117885,0.3397044806970444,0.6480420248328558,0.45689019896831246,
pain_nrs_regression,within_dataset_loso,sensors_plus_state,painmonit:painmonit::p36,9012,144,106,painmonit,painmonit,48,1,ok,2.278932834344859,3.3395376270792383,0.31759031074669597,2.3698269014976105,-65.34458885881591,,,,,,
pain_high_4_plus,within_dataset_loso,sensors_plus_state,painmonit:painmonit::p36,9012,144,106,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,apple_watch_like,painmonit:painmonit::p36,9012,144,46,painmonit,painmonit,48,1,ok,2.4325815126206076,3.3395376270792383,0.27158134320883665,2.4768311611243097,-71.47113493479114,,,,,,
pain_high_4_plus,within_dataset_loso,apple_watch_like,painmonit:painmonit::p36,9012,144,46,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,metadata_probe,painmonit:painmonit::p36,9012,144,17,painmonit,painmonit,48,1,ok,3.3007241573583546,3.3395376270792383,0.011622408265790418,3.3193264560878344,-129.15839710439275,,,,,,
pain_high_4_plus,within_dataset_loso,metadata_probe,painmonit:painmonit::p36,9012,144,17,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,sensors_plus_state,painmonit:painmonit::p09,8942,214,106,painmonit,painmonit,48,1,ok,2.3436493452683886,3.7087962873101565,0.36808356034886325,2.6173746762919774,-6.024278532606691,,,,,,
pain_high_4_plus,within_dataset_loso,sensors_plus_state,painmonit:painmonit::p09,8942,214,106,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,apple_watch_like,painmonit:painmonit::p09,8942,214,46,painmonit,painmonit,48,1,ok,3.6200027026396504,3.7087962873101565,0.023941348564847864,3.7858543820450716,-13.69595260254961,,,,,,
pain_high_4_plus,within_dataset_loso,apple_watch_like,painmonit:painmonit::p09,8942,214,46,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,metadata_probe,painmonit:painmonit::p09,8942,214,17,painmonit,painmonit,48,1,ok,3.354999138672994,3.7087962873101565,0.09539406352613611,3.524494207424649,-11.736893988771916,,,,,,
pain_high_4_plus,within_dataset_loso,metadata_probe,painmonit:painmonit::p09,8942,214,17,painmonit,painmonit,48,1,skipped,,,,,,,,,,,target has fewer than two classes
