task,target_column,status,rows,train_rows,test_rows,features,test_mae,baseline_mae,mae_improvement_vs_mean,test_rmse,test_r2,weighted_test_mae,weighted_baseline_mae,weighted_mae_improvement_vs_mean,weighted_test_rmse,reason
next_window_bvp__mean,bvp__mean__future,ok,80000,59129.0,20871.0,242.0,0.7175444839394346,0.7204991507048282,0.004100860858063715,3.6624255309164364,0.06054395001285884,0.5840612764979238,0.581811487639289,-0.0038668690915049098,2.8526086345678623,
next_window_hr__mean,hr__mean__future,ok,52557,39101.0,13456.0,211.0,2.690724364232674,12.414189762789432,0.7832541296977825,5.770831616085304,0.8903592431201033,8.825831752763746,17.58327634811324,0.4980553351929321,15.89846865499543,
next_window_ibi__mean,ibi__mean__future,ok,9030,6428.0,2602.0,171.0,0.06204709423377617,0.1611758256777622,0.6150347363020399,0.099055961229781,0.7562166477486892,0.06373426892351973,0.14480666146030782,0.5598664572417507,0.0955499462149735,
next_window_ecg__mean,ecg__mean__future,skipped,99,,,,,,,,,,,,,only 99 valid rows; min_rows=500
next_window_eda__mean,eda__mean__future,ok,80000,59942.0,20058.0,243.0,0.14674500640303556,5.146402010466655,0.9714859029464491,0.44422670892766386,0.9960183749236599,0.2136634828266304,4.9555075832604425,0.9568836331623466,0.6710624343918785,
next_window_temperature__mean,temperature__mean__future,ok,80000,60044.0,19956.0,268.0,0.31815554514866445,8.366617835706434,0.9619732188805298,2.253988010324881,0.994929040436528,0.25740865573387184,5.954373780861061,0.9567698190931091,1.7418507990545389,
next_window_acc__mag__mean,acc__mag__mean__future,ok,80000,61407.0,18593.0,212.0,0.21822817452832402,1.674867711874882,0.8697042321724413,0.4803760435967566,0.8195729899754939,0.374095673566125,1.652580558046656,0.7736293872364657,0.7882791497229801,
next_window_respiration__mean,respiration__mean__future,ok,9226,7100.0,2126.0,185.0,8546.562362376824,89871.14540899705,0.9049020425467814,8615.622597448788,-3342468553.1451654,8560.796974296254,89871.14276410178,0.9047436506202324,8638.788941848361,
next_window_emg__mean,emg__mean__future,ok,9127,6453.0,2674.0,113.0,0.00027668568500628676,0.0005301515066072458,0.4781007286446045,0.0003331190762497217,0.7208601246723658,0.0002791255279645261,0.0005381407775383141,0.4813150394560963,0.0003330865082821504,
next_window_grip__mean,grip__mean__future,ok,9127,6453.0,2674.0,113.0,0.008395992122763334,0.4923771682011635,0.9829480474217823,0.03279186520279478,0.9971075438363274,0.007794982208296484,0.5154324276514128,0.9848768106348788,0.028069815595203995,
next_window_bp_systolic__mean,bp_systolic__mean__future,skipped,490,,,,,,,,,,,,,only 490 valid rows; min_rows=500
next_window_bp_diastolic__mean,bp_diastolic__mean__future,skipped,490,,,,,,,,,,,,,only 490 valid rows; min_rows=500
next_window_spo2__mean,spo2__mean__future,skipped,490,,,,,,,,,,,,,only 490 valid rows; min_rows=500
next_window_steps__mean,steps__mean__future,skipped,490,,,,,,,,,,,,,only 490 valid rows; min_rows=500
next_window_eeg_delta__mean,eeg_delta__mean__future,ok,8217,6138.0,2079.0,166.0,74902.60212864929,226421.09455911035,0.6691889407455588,97784.55224126474,0.8621293806885306,74902.60212864928,226421.0945591103,0.6691889407455588,97784.55224126473,
next_window_eeg_theta__mean,eeg_theta__mean__future,ok,8217,6138.0,2079.0,166.0,18796.48906153156,49305.93575047191,0.6187783727164805,26627.972674067685,0.7994928153060835,18796.489061531556,49305.9357504719,0.6187783727164806,26627.97267406768,
