target_block,target_column,source_block,features_compared,max_abs_corr,mean_top5_abs_corr
acc,acc__mag__mean,ibi,10,0.12397150530428862,0.09871717825787892
acc,acc__mag__mean,bvp,14,0.10418726527149845,0.05214881825801001
acc,acc__mag__mean,temperature,12,0.103828227190197,0.053053804623543074
acc,acc__mag__mean,eda,12,0.07247901450690032,0.051562186106168514
acc,acc__mag__mean,hr,10,0.03813530884263235,0.03349792244312837
bp_diastolic,bp_diastolic__mean,bp_systolic,4,0.03362841570444957,0.03362841570444957
bp_diastolic,bp_diastolic__mean,hr,4,0.03325682356425618,0.03325682356425618
bp_diastolic,bp_diastolic__mean,steps,4,0.03107149236751153,0.03107149236751153
bp_diastolic,bp_diastolic__mean,spo2,4,0.020240514975579778,0.020240514975579778
bp_diastolic,bp_diastolic__mean,temperature,4,0.01618156346511374,0.01618156346511374
bp_systolic,bp_systolic__mean,steps,4,0.03814739516857285,0.03814739516857285
bp_systolic,bp_systolic__mean,bp_diastolic,4,0.03362841570444957,0.03362841570444957
bp_systolic,bp_systolic__mean,temperature,4,0.0278256293276473,0.0278256293276473
bp_systolic,bp_systolic__mean,spo2,4,0.02043065448085649,0.02043065448085649
bp_systolic,bp_systolic__mean,hr,4,0.012727281775851957,0.012727281775851957
bvp,bvp__mean,acc,60,0.05327193216220539,0.023738030629891004
bvp,bvp__mean,respiration,10,0.040678178153074424,0.027339193256004958
bvp,bvp__mean,bvp_rb,10,0.03955087935603488,0.010617984531358423
bvp,bvp__mean,grip,10,0.03691071202672945,0.021861528307908943
bvp,bvp__mean,emg,10,0.021045903021430366,0.018060902566819376
bvp,bvp__mean,temperature,12,0.02086653958271009,0.010094091597000298
bvp,bvp__mean,eda,12,0.01893872664891419,0.007699826959817557
bvp,bvp__mean,ibi,10,0.01757445350758615,0.007037530623946274
bvp,bvp__mean,eda_rb,10,0.011760085110348872,0.0075073626163063055
bvp,bvp__mean,hr,10,0.007269021935655878,0.00534070765460354
bvp_rb,bvp_rb__mean,eda_rb,7,0.18096845993414018,0.10736800814914078
bvp_rb,bvp_rb__mean,respiration,7,0.1284540049750649,0.08817003383244029
bvp_rb,bvp_rb__mean,grip,7,0.1142883188634881,0.07362977799650383
bvp_rb,bvp_rb__mean,eda,7,0.09216964528444992,0.05962263153104121
bvp_rb,bvp_rb__mean,temperature,7,0.05438738755395977,0.0349843831769202
bvp_rb,bvp_rb__mean,emg,7,0.054036398424506984,0.03443762683300047
bvp_rb,bvp_rb__mean,bvp,7,0.01932089129964495,0.013071264462431856
ecg,ecg__mean,respiration,7,0.7760511843373716,0.296593859276969
ecg,ecg__mean,hr,7,0.48266141083519676,0.22265544682462055
eda,eda__mean,eda_rb,10,0.3887495853523885,0.3377199142671243
eda,eda__mean,ibi,10,0.3290697823076956,0.2904432530287937
eda,eda__mean,respiration,10,0.30169347230126586,0.13135607207254404
eda,eda__mean,emg,10,0.25934221812988373,0.1173657932035161
eda,eda__mean,grip,10,0.25753678217770665,0.11573563372779236
eda,eda__mean,bvp_rb,10,0.22121397841512833,0.12087149834533481
eda,eda__mean,temperature,12,0.2002012098177305,0.1401281410895687
eda,eda__mean,hr,10,0.16626696343487316,0.11491046936312665
eda,eda__mean,acc,60,0.15325373221032096,0.11483503771468304
eda,eda__mean,bvp,14,0.10431714788945405,0.09098949767721308
eda_rb,eda_rb__mean,eda,7,0.3848648549277169,0.3697547262791957
eda_rb,eda_rb__mean,bvp_rb,7,0.28215272141529896,0.20284733602930322
eda_rb,eda_rb__mean,respiration,7,0.21156913695474108,0.1225890704431215
eda_rb,eda_rb__mean,grip,7,0.19430124205778465,0.16881580494020743
eda_rb,eda_rb__mean,bvp,7,0.19425069882785798,0.08357070323317659
eda_rb,eda_rb__mean,emg,7,0.14113077455043227,0.11956648215357597
eda_rb,eda_rb__mean,temperature,7,0.12969632027260936,0.11726088644542132
eeg_alpha1,eeg_alpha1__mean,eeg_alpha2,8,0.8283942470692113,0.5331137224919101
eeg_alpha1,eeg_alpha1__mean,eeg_theta,8,0.802246449626729,0.5618184888919389
eeg_alpha1,eeg_alpha1__mean,eeg_beta1,8,0.7657022248025186,0.49711441867164596
eeg_alpha1,eeg_alpha1__mean,eeg_beta2,8,0.7259990664911415,0.4801525457927669
eeg_alpha1,eeg_alpha1__mean,eeg_gamma1,8,0.6664307646979526,0.46668738270709165
eeg_alpha1,eeg_alpha1__mean,eeg_gamma2,8,0.637714060714328,0.45203769191585125
eeg_alpha1,eeg_alpha1__mean,eeg_delta,8,0.6273304635723274,0.4375737519231618
eeg_alpha1,eeg_alpha1__mean,eeg_attention,8,0.2277161434889118,0.16220123092856975
eeg_alpha1,eeg_alpha1__mean,eeg_meditation,8,0.12666055614406854,0.03845699943099789
eeg_alpha2,eeg_alpha2__mean,eeg_beta1,8,0.8525624723567344,0.5704873243019656
eeg_alpha2,eeg_alpha2__mean,eeg_alpha1,8,0.8283942470692113,0.5427872902793186
eeg_alpha2,eeg_alpha2__mean,eeg_beta2,8,0.8009659692205353,0.5451073198113652
eeg_alpha2,eeg_alpha2__mean,eeg_theta,8,0.7652996460941791,0.5370171058254238
eeg_alpha2,eeg_alpha2__mean,eeg_gamma1,8,0.6904815609843191,0.4942988374918477
eeg_alpha2,eeg_alpha2__mean,eeg_gamma2,8,0.6545048156459929,0.4649849755118482
eeg_alpha2,eeg_alpha2__mean,eeg_delta,8,0.603956950478514,0.4210318666264361
eeg_alpha2,eeg_alpha2__mean,eeg_attention,8,0.16759081497055758,0.1309437475189648
eeg_alpha2,eeg_alpha2__mean,eeg_meditation,8,0.16759081497055758,0.05940911399799096
eeg_attention,eeg_attention__mean,eeg_theta,8,0.30374899490698093,0.20271667975385116
eeg_attention,eeg_attention__mean,eeg_delta,8,0.2933334665609422,0.20042846679722653
eeg_attention,eeg_attention__mean,eeg_beta2,8,0.2396504751404315,0.11080202253068361
eeg_attention,eeg_attention__mean,eeg_alpha1,8,0.22771614348891178,0.1457129002014263
eeg_attention,eeg_attention__mean,eeg_alpha2,8,0.16280957118960482,0.10214893187458582
eeg_attention,eeg_attention__mean,eeg_meditation,8,0.15856044398495509,0.11592982396707359
eeg_attention,eeg_attention__mean,eeg_gamma2,8,0.15840143709962523,0.10065651217589736
eeg_attention,eeg_attention__mean,eeg_gamma1,8,0.1496392866065561,0.09628647811223058
eeg_attention,eeg_attention__mean,eeg_beta1,8,0.10413741363235567,0.09135857933361413
eeg_beta1,eeg_beta1__mean,eeg_alpha2,8,0.8525624723567344,0.5585517854936868
eeg_beta1,eeg_beta1__mean,eeg_beta2,8,0.8415025035955489,0.5824142004648051
eeg_beta1,eeg_beta1__mean,eeg_alpha1,8,0.7657022248025186,0.5016830135011746
eeg_beta1,eeg_beta1__mean,eeg_theta,8,0.7486307376745325,0.525919361446872
eeg_beta1,eeg_beta1__mean,eeg_gamma1,8,0.6564905901496164,0.47977883575443964
eeg_beta1,eeg_beta1__mean,eeg_gamma2,8,0.6140634797232227,0.4462728083284386
eeg_beta1,eeg_beta1__mean,eeg_delta,8,0.6108440848470601,0.431485757178693
eeg_beta1,eeg_beta1__mean,eeg_attention,8,0.22765249527433887,0.09889220192267045
eeg_beta1,eeg_beta1__mean,eeg_meditation,8,0.22765249527433887,0.09420405002272876
eeg_beta2,eeg_beta2__mean,eeg_gamma1,8,0.857287450407458,0.6061716301593789
eeg_beta2,eeg_beta2__mean,eeg_beta1,8,0.841502503595549,0.5549162613451475
eeg_beta2,eeg_beta2__mean,eeg_alpha2,8,0.8009659692205353,0.5190794229921021
eeg_beta2,eeg_beta2__mean,eeg_theta,8,0.7440579058492721,0.5228694339055663
eeg_beta2,eeg_beta2__mean,eeg_gamma2,8,0.7290560234353187,0.5057348581413803
eeg_beta2,eeg_beta2__mean,eeg_alpha1,8,0.7259990664911415,0.4734631196024052
eeg_beta2,eeg_beta2__mean,eeg_delta,8,0.5945302048715752,0.4168496228015667
eeg_beta2,eeg_beta2__mean,eeg_attention,8,0.15193235676879227,0.054206862758549204
eeg_beta2,eeg_beta2__mean,eeg_meditation,8,0.15193235676879227,0.0844240085672552
eeg_delta,eeg_delta__mean,eeg_theta,8,0.8072433743797203,0.5507263748498429
eeg_delta,eeg_delta__mean,eeg_alpha1,8,0.6273304635723272,0.41020285970644255
eeg_delta,eeg_delta__mean,eeg_beta1,8,0.6108440848470601,0.40435025245533707
eeg_delta,eeg_delta__mean,eeg_alpha2,8,0.603956950478514,0.3879617104507305
eeg_delta,eeg_delta__mean,eeg_beta2,8,0.5945302048715752,0.40892866810779693
eeg_delta,eeg_delta__mean,eeg_gamma1,8,0.530266788676863,0.3813157570261318
eeg_delta,eeg_delta__mean,eeg_gamma2,8,0.4581890172485463,0.34390349294505124
eeg_delta,eeg_delta__mean,eeg_attention,8,0.3140995831321869,0.23959865129593444
eeg_delta,eeg_delta__mean,eeg_meditation,8,0.3140995831321869,0.1940304674456539
eeg_gamma1,eeg_gamma1__mean,eeg_beta2,8,0.857287450407458,0.543861921417375
eeg_gamma1,eeg_gamma1__mean,eeg_gamma2,8,0.8232878524095478,0.5589188944496796
eeg_gamma1,eeg_gamma1__mean,eeg_theta,8,0.6959388053054398,0.4895467090655929
