state_cluster_id,baseline_state_bin,rows,datasets,subjects,target_available,mean_pain,baseline_l2_delta_mean
1,baseline_like,17690,4,89,1630,1.0779141104294478,7.586897775253001
1,no_subject_baseline,15899,8,176,8870,3.9412386589359527,0.0
9,baseline_like,7788,4,42,17,1.0,9.268062153583994
1,moderate_departure,6288,5,75,2316,1.5986560880829017,27.79179587461177
0,moderate_departure,5532,4,34,5361,1.0604364857302742,30.342459410933003
0,no_subject_baseline,4466,6,90,2010,2.801492537313433,0.0
8,moderate_departure,3936,4,46,2546,0.9753195371825085,29.403279503707672
9,no_subject_baseline,3853,6,70,2573,4.038388268897402,0.0
8,no_subject_baseline,3729,6,76,737,3.1573948439620083,0.0
8,baseline_like,3218,4,37,772,1.1129776554404145,11.045201326585572
0,baseline_like,3045,4,30,2816,1.3153409090909092,10.420396902107582
1,strong_departure,2560,5,53,2010,1.3856545398009952,53.771797252764564
9,moderate_departure,2224,4,32,3,2.0,25.92514566570827
0,strong_departure,2222,4,39,2024,1.5936861824769433,52.89098311652786
2,strong_departure,2136,3,38,2055,1.4394160583941606,54.478763355239394
7,no_subject_baseline,1909,1,62,0,,0.0
5,no_subject_baseline,1779,1,63,0,,0.0
4,no_subject_baseline,1730,1,36,1719,5.31098853153827,0.0
11,no_subject_baseline,1623,3,40,0,,0.0
8,strong_departure,1610,4,44,1310,1.498473282442748,51.62007469999541
2,no_subject_baseline,1368,5,62,457,3.2954048140043763,0.0
2,moderate_departure,1265,3,38,1156,1.5458477508650519,31.405097973851184
3,no_subject_baseline,1162,2,39,0,,0.0
1,extreme_departure,845,4,31,154,0.3116883116883117,82748.15386736499
9,strong_departure,578,4,15,2,0.0,52.295280435086454
6,baseline_like,573,1,2,0,,10.883168237471871
6,strong_departure,566,1,3,0,,68.11598846268566
7,extreme_departure,498,1,14,0,,154466.80060836425
8,extreme_departure,447,3,17,269,1.449814126394052,105.21273424224134
5,extreme_departure,414,1,14,0,,185149.87824123094
2,extreme_departure,367,3,23,302,2.19205298013245,87.76378218131157
10,no_subject_baseline,346,1,39,0,,0.0
0,extreme_departure,296,3,16,286,1.3041958041958042,79.87193046491605
6,no_subject_baseline,264,1,4,0,,0.0
6,moderate_departure,211,1,1,0,,19.983519419056318
2,baseline_like,197,3,13,125,2.344,12.155250057966455
11,extreme_departure,142,2,11,0,,214.85318840664448
9,extreme_departure,131,1,10,0,,221.6699326348461
10,extreme_departure,96,1,7,0,,313617.9277080593
11,strong_departure,81,2,11,0,,59.14538779988311
11,moderate_departure,50,3,7,0,,35.68073420024624
6,extreme_departure,15,1,1,0,,80.40288070902997
