target,feature,importance
homeostasis,num__acc_y__base__mean,0.03377587493081019
homeostasis,num__acc_y__base__max,0.03166363192261192
homeostasis,num__acc_y__base__last,0.030307651897296232
homeostasis,num__acc_mag__base__mean,0.02930544106154288
homeostasis,num__acc_y__base__min,0.027242931531667038
homeostasis,num__acc_z__base__mean,0.023315832182100867
homeostasis,num__temperature__base__last,0.022722432036854916
homeostasis,num__temperature__base__mean,0.021813407239507625
homeostasis,num__temperature__base__max,0.020203906614847885
homeostasis,num__acc_z__base__last,0.019654102596281704
homeostasis,num__eda__base__max,0.018859074917616795
homeostasis,num__acc_x__base__mean,0.01862136607014281
homeostasis,num__acc_x__base__last,0.018317644786747658
homeostasis,num__eda__base__mean,0.018267841476156274
homeostasis,num__eda__base__min,0.01770068360804615
homeostasis,num__eda__base__last,0.017666614989197815
homeostasis,num__acc_x__base__max,0.017337742214341364
homeostasis,num__temperature__base__min,0.015889924339131955
homeostasis,num__bvp__base__std,0.015852453107545992
homeostasis,num__bvp__shape__iqr,0.0158427398461115
homeostasis,num__acc_z__base__min,0.015617358101196866
homeostasis,num__bvp__shape__mad,0.015504048435529872
homeostasis,num__acc_x__base__min,0.014872829998431269
homeostasis,num__bvp__shape__longest_above_median_frac,0.014644117930748136
homeostasis,num__acc_mag__base__min,0.014207168428879802
homeostasis,num__acc_y__base__std,0.01391530711515567
homeostasis,num__acc_z__base__max,0.013433826217378543
homeostasis,num__acc_mag__base__last,0.013404659018235501
homeostasis,num__bvp__shape__q75,0.013309801055408263
homeostasis,num__bvp__base__min,0.01304936662397008
homeostasis,num__bvp__shape__q90,0.012645508293690497
homeostasis,num__acc_mag__base__std,0.01262192905938172
homeostasis,num__bvp__shape__mean_abs_diff_z,0.012596607313640113
homeostasis,num__bvp__shape__q10,0.012506202193586717
homeostasis,num__bvp__shape__q25,0.012465869156628642
homeostasis,num__hr__base__max,0.012136018656039155
homeostasis,num__hr__base__min,0.012052492224329022
homeostasis,num__hr__base__mean,0.01175773706544148
homeostasis,num__bvp__shape__std_diff_z,0.011724316005462972
homeostasis,num__bvp__base__max,0.01098160601388786
homeostasis,num__acc_mag__base__max,0.010688894299573055
homeostasis,num__acc_x__base__std,0.010312603871188956
homeostasis,num__bvp__shape__median_crossings,0.010304119142576257
homeostasis,num__ibi__base__last,0.010225732517660206
homeostasis,num__bvp__shape__max_abs_diff_z,0.01000564907788017
homeostasis,num__hr__base__last,0.00981932801461144
homeostasis,num__bvp__shape__max_time_fraction,0.009695825963174863
homeostasis,num__ibi__base__mean,0.009645641883264165
homeostasis,num__hr__base__std,0.009563694437840501
homeostasis,num__ibi__base__min,0.009408629661905952
homeostasis,num__acc_z__base__std,0.0088558025160816
homeostasis,num__bvp__base__last,0.008662724199845408
homeostasis,num__bvp__shape__second_diff_energy,0.00862583558421289
homeostasis,num__eda__base__std,0.008500982040344593
homeostasis,num__bvp__shape__min_time_fraction,0.00843019264213137
homeostasis,num__ibi__base__std,0.008334828821994121
homeostasis,num__ibi__base__max,0.008273955838239998
homeostasis,num__window_s,0.007604699450489239
homeostasis,num__respiration__base__max,0.007524332013937739
homeostasis,num__respiration__base__std,0.007410441259793512
homeostasis,num__bvp__shape__kurtosis,0.007263202661810219
homeostasis,num__bvp__shape__rms_z,0.007183616713365889
homeostasis,num__bvp__shape__skew,0.007053384885164563
homeostasis,num__bvp__shape__median,0.00695817000732752
homeostasis,num__emg__base__std,0.006820172007946756
homeostasis,num__emg__base__min,0.006035600132166169
homeostasis,num__emg__base__max,0.005703319276069754
homeostasis,num__emg__base__mean,0.005268808244846178
homeostasis,num__grip__base__min,0.005253417582961525
homeostasis,num__respiration__base__min,0.00524548808839028
homeostasis,num__grip__base__last,0.005208810658926597
