target,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
sympathetic_activation,group_subject_cv,logistic,portable_base_shape,7672,9590,86,0.46830031282586027,0.6382102855991995,0.6121405377102797,0.23684797117712672
sympathetic_activation,leave_dataset_out:catsa,logistic,portable_base_shape,7202,2388,86,0.5025125628140703,0.4674298540965208,0.4869198183090989,0.27587735443087885
sympathetic_activation,leave_dataset_out:painmonit,logistic,portable_base_shape,8605,985,86,0.7086294416243655,0.3802951189561016,0.6476191804759872,0.3425859495199515
sympathetic_activation,leave_dataset_out:painmonit_pmed,logistic,portable_base_shape,8393,1197,86,0.20300751879699247,0.4647186203207633,0.20620565694778586,0.4825051698102582
sympathetic_activation,leave_dataset_out:physiopain_watch,logistic,portable_base_shape,8390,1200,86,0.475,0.5631578947368421,0.5316940562446959,0.3155516061293693
sympathetic_activation,leave_dataset_out:rheumapain,logistic,portable_base_shape,8511,1079,86,0.09360518999073215,0.500506185587884,0.08609463314008045,0.21785811995086932
sympathetic_activation,leave_dataset_out:silver_pain,logistic,portable_base_shape,8703,887,86,0.5388951521984217,0.5035089155098158,0.5224150944904518,0.29277955576374853
sympathetic_activation,leave_dataset_out:wesad,logistic,portable_base_shape,8276,1314,86,0.5030441400304414,0.5559028155863893,0.5450345738995421,0.2810539528163569
sympathetic_activation,group_subject_cv,hist_gradient_boosting,portable_base_shape,7672,9590,86,0.46830031282586027,0.6705053566635133,0.6340365815205216,0.23558104964257964
sympathetic_activation,leave_dataset_out:catsa,hist_gradient_boosting,portable_base_shape,7202,2388,86,0.5025125628140703,0.4166340488215488,0.4558737519953378,0.28239668943428325
sympathetic_activation,leave_dataset_out:painmonit,hist_gradient_boosting,portable_base_shape,8605,985,86,0.7086294416243655,0.4360043129698592,0.6769517771122469,0.372142804017713
sympathetic_activation,leave_dataset_out:painmonit_pmed,hist_gradient_boosting,portable_base_shape,8393,1197,86,0.20300751879699247,0.5076955595241177,0.20652548454951397,0.3824728440600352
sympathetic_activation,leave_dataset_out:physiopain_watch,hist_gradient_boosting,portable_base_shape,8390,1200,86,0.475,0.59953216374269,0.5958647163751641,0.3242055265605856
sympathetic_activation,leave_dataset_out:rheumapain,hist_gradient_boosting,portable_base_shape,8511,1079,86,0.09360518999073215,0.5985239628257304,0.11212285003978259,0.18810809553034463
sympathetic_activation,leave_dataset_out:silver_pain,hist_gradient_boosting,portable_base_shape,8703,887,86,0.5388951521984217,0.39640259434686087,0.4775631124999856,0.32362037992681525
sympathetic_activation,leave_dataset_out:wesad,hist_gradient_boosting,portable_base_shape,8276,1314,86,0.5030441400304414,0.48022973220305215,0.4787063245709536,0.3697376102391937
