"raw_probability","old_confidence_formula","conservative_confidence_formula"
0,0.95,0.9
0.01,0.95,0.9
0.02,0.95,0.9
0.03,0.95,0.9
0.04,0.95,0.87510572241826
0.05,0.95,0.844866354023613
0.06,0.94,0.815027524095009
0.07,0.93,0.785592849789299
0.08,0.92,0.756566065247231
0.09,0.91,0.727951028233494
0.1,0.9,0.699751727323698
0.11,0.89,0.671972289698034
0.12,0.88,0.6446169896096
0.13,0.87,0.617690257604955
0.14,0.86,0.591196690585698
0.15,0.85,0.565141062813108
0.16,0.84,0.539528337973504
0.17,0.83,0.514363682440502
0.18,0.82,0.489652479892499
0.19,0.81,0.465400347470165
0.2,0.8,0.4416131536907
0.21,0.79,0.418297038374248
0.22,0.78,0.395458434885023
0.23,0.77,0.373104095047531
0.24,0.76,0.351241117169658
0.25,0.75,0.329876977693224
0.26,0.74,0.309019567103933
0.27,0.73,0.288677230873381
0.28,0.72,0.268858816385252
0.29,0.71,0.249573727029011
0.3,0.7,0.230831984945154
0.31,0.69,0.212644304302119
0.32,0.68,0.195022177512646
0.33,0.67,0.177977977510548
0.34,0.66,0.161525080186929
0.35,0.65,0.145678012449061
0.36,0.64,0.130452633303164
0.37,0.63,0.115866358173518
0.38,0.62,0.101938440844314
0.39,0.61,0.0886903337753444
0.4,0.6,0.0761461575486351
0.41,0.59,0.0643333265010229
0.42,0.58,0.0532834052737199
0.43,0.57,0.05
0.44,0.56,0.05
0.45,0.55,0.05
0.46,0.54,0.05
0.47,0.53,0.05
0.48,0.52,0.05
0.49,0.51,0.05
0.5,0.5,0.05
0.51,0.51,0.05
0.52,0.52,0.05
0.53,0.53,0.05
0.54,0.54,0.05
0.55,0.55,0.05
0.56,0.56,0.05
0.57,0.57,0.05
0.58,0.58,0.0532834052737198
0.59,0.59,0.0643333265010229
0.6,0.6,0.0761461575486351
0.61,0.61,0.0886903337753444
0.62,0.62,0.101938440844314
0.63,0.63,0.115866358173518
0.64,0.64,0.130452633303164
0.65,0.65,0.145678012449061
0.66,0.66,0.16152508018693
0.67,0.67,0.177977977510548
0.68,0.68,0.195022177512646
0.69,0.69,0.212644304302119
0.7,0.7,0.230831984945154
0.71,0.71,0.249573727029011
0.72,0.72,0.268858816385252
0.73,0.73,0.288677230873381
0.74,0.74,0.309019567103933
0.75,0.75,0.329876977693224
0.76,0.76,0.351241117169658
0.77,0.77,0.373104095047531
0.78,0.78,0.395458434885023
0.79,0.79,0.418297038374248
0.8,0.8,0.4416131536907
0.81,0.81,0.465400347470165
0.82,0.82,0.489652479892499
0.83,0.83,0.514363682440503
0.84,0.84,0.539528337973504
0.85,0.85,0.565141062813108
0.86,0.86,0.591196690585698
0.87,0.87,0.617690257604955
0.88,0.88,0.6446169896096
0.89,0.89,0.671972289698034
0.9,0.9,0.699751727323698
0.91,0.91,0.727951028233494
0.92,0.92,0.756566065247231
0.93,0.93,0.785592849789299
0.94,0.94,0.815027524095009
0.95,0.95,0.844866354023613
0.96,0.95,0.87510572241826
0.97,0.95,0.9
0.98,0.95,0.9
0.99,0.95,0.9
1,0.95,0.9
