"target","heldout","train_rows","test_rows","prevalence","auc","brier"
"pain_high_4_plus","rheumapain",17756,23764,0.0440582393536442,0.512395469036627,0.301127082945364
"pain_high_4_plus","painmonit",32364,9156,0.596439493228484,0.539964006056973,0.497827867575335
"pain_high_4_plus","physiopain_watch",32920,8600,0.22093023255814,0.640860879811469,0.208063866080516
"stress_bin","catsa",515191,20000,0.75,0.496988013333333,0.249999740427329
"stress_bin","induced_stress_exercise",531590,3601,1,NA,0.000531455752599329
"stress_bin","merged_wearable_stress",531891,3300,0.606060606060606,0.429412692307692,0.321814614839972
"stress_bin","stress_reference_real",283701,251490,0.419674738558193,0.566476729914047,0.274817546143485
"stress_bin","stress_reference_synthetic",278391,256800,0.48571261682243,0.600969181278138,0.243785872763073
"activity_bin","rheumapain",6417,10132,1,NA,8.4139427013285e-24
"activity_bin","wearable_sports_health",16432,117,0,NA,NA
"activity_bin","induced_stress_exercise",10249,6300,1,NA,8.4139427013285e-24
"baseline_bin","rheumapain",41567,23454,0.62675876183167,0.499876153797137,0.373241237541448
"baseline_bin","wearable_sports_health",64521,500,0.238,0.5329848474823,0.761999999480716
"baseline_bin","catsa",45021,20000,0.749,0.961855714658057,0.0869045526928077
"baseline_bin","epm_e4",47154,17867,0.687524486483461,0.983290175967387,0.069799678826864
"baseline_bin","physiopain_watch",63321,1700,1,NA,0.505503407644358
"baseline_bin","physiopain_eeg",63521,1500,1,NA,0.714859458038504
