task,dataset_id,model,feature_set,feature,importance
cognitive_load_vs_baseline,catsa,logistic,base,bvp__base__max,0.7716294721555164
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__mean,0.7235595677798684
cognitive_load_vs_baseline,catsa,logistic,base,acc_z__base__std,0.4992142459973066
cognitive_load_vs_baseline,catsa,logistic,base,acc_z__base__max,0.4188849648456765
cognitive_load_vs_baseline,catsa,logistic,base,acc_x__base__min,0.3361109658906562
cognitive_load_vs_baseline,catsa,logistic,base,temperature__base__std,0.2997501852510646
cognitive_load_vs_baseline,catsa,logistic,base,hr__base__last,0.287869255638733
cognitive_load_vs_baseline,catsa,logistic,base,hr__base__min,0.25687614202189624
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__min,0.24823163155498942
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__max,0.2277738616567006
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__std,0.2010759630256671
cognitive_load_vs_baseline,catsa,logistic,base,acc_x__base__std,0.20096399400964954
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__std,0.17627073001574023
cognitive_load_vs_baseline,catsa,logistic,base,hr__base__mean,0.1737127098465753
cognitive_load_vs_baseline,catsa,logistic,base,acc_x__base__max,0.16309557937232483
cognitive_load_vs_baseline,catsa,logistic,base,eda__base__min,0.15713094621515025
cognitive_load_vs_baseline,catsa,logistic,base,acc_z__base__min,0.14393171385986284
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__mean,0.1305052682164756
cognitive_load_vs_baseline,catsa,logistic,base,bvp__base__std,0.11777074168107529
cognitive_load_vs_baseline,catsa,logistic,base,temperature__base__last,0.11665517821172044
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__max,0.15071296284598537
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__std,0.11851038689044269
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__min,0.10582883581141803
cognitive_load_vs_baseline,catsa,extra_trees,base,eda__base__mean,0.03943659340302025
