task,dataset_id,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base,640,800,40,0.5,0.6020625,0.6206046268574188,0.24708794690563818
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base,640,800,40,0.5,0.5424187500000001,0.5443086368655268,0.25603925032655916
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_distribution,640,800,120,0.5,0.5767,0.5712189786906718,0.26591694233862484
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_distribution,640,800,120,0.5,0.55291875,0.5221941862273369,0.26100236240715935
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal,640,800,240,0.5,0.5824406249999998,0.5819602871848624,0.2770458400493651
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal,640,800,240,0.5,0.47423125,0.47236793234395624,0.27644427128033117
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_coupling,640,800,258,0.5,0.574190625,0.5681241366651482,0.2818520638651421
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_coupling,640,800,258,0.5,0.470425,0.4710642812842246,0.2767798264921864
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_shuffle,640,800,240,0.5,0.5488062499999999,0.5505537832413336,0.2984128282079185
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_shuffle,640,800,240,0.5,0.5590562499999999,0.5696734288474117,0.2489382452814801
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_reverse,640,800,240,0.5,0.5854218750000001,0.5808671531638128,0.2788696268211463
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_reverse,640,800,240,0.5,0.47776250000000003,0.4743642987509362,0.27591048165338905
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shape,640,800,320,0.5,0.561928125,0.5589416046580025,0.29298074679946146
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shape,640,800,320,0.5,0.47808124999999996,0.5000936589090678,0.27606069855757587
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shape_coupling,640,800,338,0.5,0.555228125,0.548666150153595,0.29681387498922723
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shape_coupling,640,800,338,0.5,0.4705875,0.4909552872558015,0.27897063358504026
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shuffle,640,800,320,0.5,0.531859375,0.5377814158504475,0.30743861691339985
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shuffle,640,800,320,0.5,0.5702,0.5456636419645783,0.25291027709005115
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_reverse,640,800,320,0.5,0.568684375,0.5619151203705898,0.2901182240382009
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_reverse,640,800,320,0.5,0.48310624999999996,0.505829555674259,0.2751571749047468
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,quality_only,640,800,20,0.5,0.4996875,0.5111649071830009,0.25836411342438675
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,quality_only,640,800,20,0.5,0.433209375,0.4580764536628339,0.28146876217869843
pain_high_4_plus,painmonit,group_subject_cv,logistic,base,320,400,30,0.69,0.5334852734922861,0.7552544259427229,0.29294141376205785
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base,320,400,30,0.69,0.4654920523609163,0.7050446031500434,0.25592591974490164
pain_high_4_plus,painmonit,group_subject_cv,logistic,base_distribution,320,400,90,0.69,0.5838300607760636,0.7833258553192675,0.29326903585930403
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_distribution,320,400,90,0.69,0.4841047218326322,0.7199338383492767,0.25003083947255217
pain_high_4_plus,painmonit,group_subject_cv,logistic,base_temporal,320,400,180,0.69,0.6192730247779337,0.8074973648191358,0.2928571939384394
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_temporal,320,400,180,0.69,0.529014726507714,0.7273092409005957,0.22868326189285768
pain_high_4_plus,painmonit,group_subject_cv,logistic,base_temporal_coupling,320,400,186,0.69,0.6238604488078541,0.8094957875242282,0.2924636598801238
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_temporal_coupling,320,400,186,0.69,0.5571528751753156,0.7390196451335627,0.2256607418048272
pain_high_4_plus,painmonit,group_subject_cv,logistic,base_temporal_shuffle,320,400,180,0.69,0.5054055633473585,0.7342716233152083,0.3608119047849518
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_temporal_shuffle,320,400,180,0.69,0.4814165497896213,0.7171544608104505,0.23964064674264404
pain_high_4_plus,painmonit,group_subject_cv,logistic,base_temporal_reverse,320,400,180,0.69,0.6083450210378682,0.8019489411102363,0.3013751826186438
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_temporal_reverse,320,400,180,0.69,0.5112494156147733,0.7076615361074143,0.2336627807500738
pain_high_4_plus,painmonit,group_subject_cv,logistic,base_shape,320,400,240,0.69,0.6052185600748013,0.8061065834776622,0.3137656945309114
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_shape,320,400,240,0.69,0.5156907433380085,0.7301601550291844,0.23447366670407646
pain_high_4_plus,painmonit,group_subject_cv,logistic,base_shape_coupling,320,400,246,0.69,0.6004558204768583,0.8007853084741925,0.3149850089849477
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_shape_coupling,320,400,246,0.69,0.5160998129967275,0.7337392260143911,0.23300434124549946
pain_high_4_plus,painmonit,group_subject_cv,logistic,base_shuffle,320,400,240,0.69,0.5068957456755494,0.734249325642477,0.3596175932788482
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_shuffle,320,400,240,0.69,0.5081229546517065,0.7299850387165512,0.23828067212297607
pain_high_4_plus,painmonit,group_subject_cv,logistic,base_reverse,320,400,240,0.69,0.6043419822346892,0.8014377183098302,0.3083336300383977
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,base_reverse,320,400,240,0.69,0.4894226273959794,0.7077522816019742,0.23874978056060275
pain_high_4_plus,painmonit,group_subject_cv,logistic,quality_only,320,400,16,0.69,0.5,0.69,0.25
pain_high_4_plus,painmonit,group_subject_cv,extra_trees,quality_only,320,400,16,0.69,0.5023375409069659,0.6772554347826086,0.25000000000000006
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base,320,400,40,0.2025,0.7040907155849685,0.4081293561588749,0.2009367500318463
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base,320,400,40,0.2025,0.6760323541932738,0.3925058728550273,0.15976686013852956
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_distribution,320,400,120,0.2025,0.8179883122411858,0.6102024481358606,0.1281249665970181
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_distribution,320,400,120,0.2025,0.8797941096791672,0.7857916990979915,0.08557786727030653
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal,320,400,240,0.2025,0.8549866480900963,0.6025280001124913,0.1209501365649583
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal,320,400,240,0.2025,0.8661712914586478,0.8298969121121212,0.07639800887764966
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal_coupling,320,400,252,0.2025,0.8606370215565619,0.604572532901838,0.12210456460837574
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal_coupling,320,400,252,0.2025,0.8752660706683695,0.8286449834551839,0.0767145185461294
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal_shuffle,320,400,240,0.2025,0.7745268779751537,0.6252686533862143,0.1391996631515417
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal_shuffle,320,400,240,0.2025,0.8672549247261891,0.7886433826868786,0.07898460793514203
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_temporal_reverse,320,400,240,0.2025,0.8638492201710593,0.5988237119198117,0.12327925473811614
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_temporal_reverse,320,400,240,0.2025,0.8740663338364487,0.835727231731336,0.07416252342434747
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_shape,320,400,320,0.2025,0.8572700181895584,0.6166386177201699,0.12340794976702849
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_shape,320,400,320,0.2025,0.8746855528464723,0.8278737648644843,0.07628757713845523
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_shape_coupling,320,400,332,0.2025,0.865784279577383,0.6185405329219815,0.12542821736493806
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_shape_coupling,320,400,332,0.2025,0.8760013932427726,0.8314152522699709,0.07629689017437594
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_shuffle,320,400,320,0.2025,0.7767715468864894,0.6197849667439598,0.1387123447462898
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_shuffle,320,400,320,0.2025,0.8742211385889546,0.7718460883760352,0.07740197844145297
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_reverse,320,400,320,0.2025,0.8656681760130036,0.6235567342018208,0.11929550334474978
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_reverse,320,400,320,0.2025,0.8804133286891908,0.8297407473695829,0.07340610420847797
pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,quality_only,320,400,16,0.2025,0.8568830063082937,0.7618275096806537,0.10943965167800879
pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,quality_only,320,400,16,0.2025,0.8725956886876427,0.7473610845790948,0.08644583295939118
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base,320,400,35,0.475,0.41135338345864664,0.41689322052473177,0.3123105316549011
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base,320,400,35,0.475,0.3095739348370927,0.3795145274726483,0.3138829667577097
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_distribution,320,400,105,0.475,0.42140350877192984,0.42790079055039765,0.35248201331027557
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_distribution,320,400,105,0.475,0.3312781954887217,0.3859749911055376,0.33034163882714856
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal,320,400,210,0.475,0.41791979949874686,0.41476760649671146,0.4155321495240687
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal,320,400,210,0.475,0.2917042606516291,0.3558307290775169,0.2951922127732991
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_coupling,320,400,222,0.475,0.4200751879699248,0.4233158528609992,0.41680066971482865
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_coupling,320,400,222,0.475,0.2883959899749373,0.3603750471107784,0.29558373833403845
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_shuffle,320,400,210,0.475,0.4437092731829574,0.45368837592169164,0.40375685034763636
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_shuffle,320,400,210,0.475,0.2897744360902256,0.35653079590324893,0.284583954901509
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_reverse,320,400,210,0.475,0.46769423558897244,0.44744895538550034,0.38528547023301146
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_reverse,320,400,210,0.475,0.2981453634085213,0.354211916941105,0.2950222755749459
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_shape,320,400,280,0.475,0.40656641604010024,0.4126106291999647,0.4385507055135527
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_shape,320,400,280,0.475,0.29077694235588974,0.3574645853215561,0.3085211316953517
