task,dataset_id,model,feature_set,feature,importance
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__max,0.5666125700790718
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__mean,0.5659106804436955
cognitive_load_vs_baseline,catsa,logistic,base,acc_z__base__std,0.5082714880059976
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__min,0.4974766396973117
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__std,0.35205240520047665
cognitive_load_vs_baseline,catsa,logistic,base,acc_z__base__max,0.3209773483052597
cognitive_load_vs_baseline,catsa,logistic,base,bvp__base__max,0.26738231109319727
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__std,0.23554118958869957
cognitive_load_vs_baseline,catsa,logistic,base,bvp__base__std,0.18697525638135903
cognitive_load_vs_baseline,catsa,logistic,base,acc_mag__base__last,0.175837797583664
cognitive_load_vs_baseline,catsa,logistic,base,bvp__base__min,0.16687542844724573
cognitive_load_vs_baseline,catsa,logistic,base,acc_x__base__min,0.15714821432146767
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__max,0.137050378532321
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__min,0.12492174625478976
cognitive_load_vs_baseline,catsa,logistic,base,acc_z__base__min,0.11745501416877228
cognitive_load_vs_baseline,catsa,logistic,base,acc_x__base__std,0.10871660083901331
cognitive_load_vs_baseline,catsa,logistic,base,acc_z__base__last,0.10718409280041219
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__last,0.10653966646299343
cognitive_load_vs_baseline,catsa,logistic,base,acc_y__base__mean,0.09904142326311635
cognitive_load_vs_baseline,catsa,logistic,base,acc_x__base__last,0.09391815311559765
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__std,0.13107435702825726
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__min,0.10775325777627928
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__max,0.07951448995115162
cognitive_load_vs_baseline,catsa,extra_trees,base,eda__base__last,0.037957089438240235
cognitive_load_vs_baseline,catsa,extra_trees,base,eda__base__mean,0.03560424639144642
cognitive_load_vs_baseline,catsa,extra_trees,base,eda__base__min,0.03495648181402363
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_x__base__mean,0.03363817620833209
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_x__base__max,0.03327441939848405
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_x__base__min,0.03133297208730914
cognitive_load_vs_baseline,catsa,extra_trees,base,eda__base__max,0.031136596592216865
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_x__base__last,0.03096758826869373
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_y__base__min,0.029179968036377967
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_z__base__min,0.02834968436753906
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_y__base__max,0.02703060273635378
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_y__base__mean,0.02660980245890589
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_y__base__last,0.02635634922447764
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_z__base__mean,0.026248876218551914
cognitive_load_vs_baseline,catsa,extra_trees,base,bvp__base__last,0.02406328912773332
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_z__base__last,0.022592103794980282
cognitive_load_vs_baseline,catsa,extra_trees,base,acc_mag__base__min,0.020824097144220823
cognitive_load_vs_baseline,catsa,logistic,base_distribution,bvp__base__std,0.4528965768952027
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_z__shape__iqr,0.4103785643560557
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_mag__shape__skew,0.3673591742669472
cognitive_load_vs_baseline,catsa,logistic,base_distribution,bvp__shape__median,0.3615454905016753
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_z__shape__mad,0.3545939396296681
cognitive_load_vs_baseline,catsa,logistic,base_distribution,bvp__base__max,0.35328789115606485
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_y__shape__skew,0.33641570018561745
cognitive_load_vs_baseline,catsa,logistic,base_distribution,eda__shape__iqr,0.3295035966890222
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_mag__shape__q10,0.32476479050042084
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_mag__base__mean,0.3191975949964508
cognitive_load_vs_baseline,catsa,logistic,base_distribution,temperature__shape__rms_z,0.3061018049304425
cognitive_load_vs_baseline,catsa,logistic,base_distribution,eda__base__std,0.2909650423433428
cognitive_load_vs_baseline,catsa,logistic,base_distribution,bvp__base__mean,0.28565977181996444
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_mag__shape__mad,0.27624816220615733
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_z__base__std,0.27230506058157616
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_mag__shape__q25,0.25705520844582885
cognitive_load_vs_baseline,catsa,logistic,base_distribution,bvp__shape__q90,0.2471955943157805
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_mag__base__std,0.24544429329718942
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_y__shape__kurtosis,0.23617558893085758
cognitive_load_vs_baseline,catsa,logistic,base_distribution,acc_mag__base__min,0.23454406581566695
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__base__std,0.058392944377198476
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__shape__mad,0.04807167756446977
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__base__min,0.045713042459684126
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__shape__iqr,0.04110014774166376
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__base__max,0.03967488803219208
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__shape__q10,0.03570248352264212
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__shape__q90,0.029845379283447097
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__shape__q75,0.022401218370291957
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__shape__q25,0.020683166792683276
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,eda__base__max,0.018402236746401505
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,eda__shape__q10,0.017763350464427972
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,eda__shape__q75,0.017670085070995187
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,eda__base__mean,0.017427878822094636
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,eda__shape__q25,0.017350912554100463
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__shape__kurtosis,0.016802505107794657
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,eda__base__min,0.016725355271688093
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,eda__shape__q90,0.016476791557102542
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,eda__shape__median,0.016454540342812827
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,eda__base__last,0.016276939782964395
cognitive_load_vs_baseline,catsa,extra_trees,base_distribution,bvp__base__last,0.012842408232263947
cognitive_load_vs_baseline,catsa,logistic,base_temporal,bvp__shape__autocorr_1s,0.9465743028429289
cognitive_load_vs_baseline,catsa,logistic,base_temporal,bvp__base__min,0.5350417134140314
cognitive_load_vs_baseline,catsa,logistic,base_temporal,bvp__base__max,0.5209044243106313
cognitive_load_vs_baseline,catsa,logistic,base_temporal,acc_y__shape__autocorr_1s,0.49862530932699717
cognitive_load_vs_baseline,catsa,logistic,base_temporal,bvp__shape__autocorr_05s,0.464640972444189
cognitive_load_vs_baseline,catsa,logistic,base_temporal,acc_mag__shape__median_crossings,0.440629925908184
cognitive_load_vs_baseline,catsa,logistic,base_temporal,bvp__shape__median_crossings,0.4197717030573214
cognitive_load_vs_baseline,catsa,logistic,base_temporal,eda__shape__autocorr_2s,0.4041344433572582
cognitive_load_vs_baseline,catsa,logistic,base_temporal,eda__shape__dominant_frequency,0.35724349311579323
cognitive_load_vs_baseline,catsa,logistic,base_temporal,bvp__shape__high_band_power,0.35568376724490763
cognitive_load_vs_baseline,catsa,logistic,base_temporal,acc_mag__base__mean,0.34139222919411566
cognitive_load_vs_baseline,catsa,logistic,base_temporal,eda__shape__median_crossings,0.3387029598321081
cognitive_load_vs_baseline,catsa,logistic,base_temporal,acc_z__shape__longest_below_median_frac,0.3027009221011051
cognitive_load_vs_baseline,catsa,logistic,base_temporal,bvp__shape__spectral_entropy,0.2985321501960355
cognitive_load_vs_baseline,catsa,logistic,base_temporal,acc_mag__shape__longest_above_median_frac,0.2982922019827054
cognitive_load_vs_baseline,catsa,logistic,base_temporal,bvp__shape__autocorr_025s,0.2875843695374702
cognitive_load_vs_baseline,catsa,logistic,base_temporal,eda__shape__std_diff_z,0.2847163658877232
cognitive_load_vs_baseline,catsa,logistic,base_temporal,acc_x__shape__median_crossings,0.28095959251886515
cognitive_load_vs_baseline,catsa,logistic,base_temporal,acc_z__shape__dominant_frequency,0.27908451299508863
cognitive_load_vs_baseline,catsa,logistic,base_temporal,acc_y__shape__wavelet_energy_3,0.2779482751975974
cognitive_load_vs_baseline,catsa,extra_trees,base_temporal,bvp__base__std,0.04214859458764812
cognitive_load_vs_baseline,catsa,extra_trees,base_temporal,bvp__shape__autocorr_1s,0.04091577018369679
cognitive_load_vs_baseline,catsa,extra_trees,base_temporal,bvp__base__min,0.03649410406862297
cognitive_load_vs_baseline,catsa,extra_trees,base_temporal,bvp__base__max,0.028112119900567445
cognitive_load_vs_baseline,catsa,extra_trees,base_temporal,bvp__shape__autocorr_05s,0.026741771773291807
cognitive_load_vs_baseline,catsa,extra_trees,base_temporal,bvp__shape__longest_above_median_frac,0.025589606413345612
cognitive_load_vs_baseline,catsa,extra_trees,base_temporal,bvp__shape__autocorr_025s,0.02478280705911267
cognitive_load_vs_baseline,catsa,extra_trees,base_temporal,bvp__shape__autocorr_2s,0.02396955763159288
cognitive_load_vs_baseline,catsa,extra_trees,base_temporal,bvp__shape__spectral_centroid,0.02378589719873061
