task,dataset_id,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base,632,790,30,0.5063291139240507,0.5822307692307693,0.5949026087567976,0.25595306945510243
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base,632,790,30,0.5063291139240507,0.5287660256410258,0.5381232370610538,0.26061553925322256
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_distribution,632,790,90,0.5063291139240507,0.5272564102564102,0.5334229609184417,0.2847344851047815
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_distribution,632,790,90,0.5063291139240507,0.5177820512820512,0.5304532528559183,0.26527636152596057
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal,632,790,174,0.5063291139240507,0.49525641025641026,0.4949060377307048,0.3214497646766546
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal,632,790,174,0.5063291139240507,0.4923076923076923,0.49517737725425903,0.26886015436936617
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_coupling,632,790,183,0.5063291139240507,0.48757692307692313,0.49059687899177795,0.3259747961969089
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_coupling,632,790,183,0.5063291139240507,0.4883846153846154,0.49190892104741973,0.26944089565771284
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_shuffle,632,790,174,0.5063291139240507,0.5183525641025641,0.5253927043341873,0.3061952405427966
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_shuffle,632,790,174,0.5063291139240507,0.5067884615384616,0.5259988055733149,0.25753316628135803
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_reverse,632,790,174,0.5063291139240507,0.5005576923076922,0.49696838134534893,0.3198638451379034
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_reverse,632,790,174,0.5063291139240507,0.4860897435897436,0.4882845417376035,0.2704819524358063
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shape,632,790,234,0.5063291139240507,0.5001410256410256,0.4999295471397337,0.3197831411736191
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shape,632,790,234,0.5063291139240507,0.48996794871794874,0.4979502790033472,0.2735747159743397
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shape_coupling,632,790,243,0.5063291139240507,0.49769871794871795,0.49647214554605035,0.3238226056106317
cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shape_coupling,632,790,243,0.5063291139240507,0.48531410256410257,0.495152160564541,0.27400255913407245
cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shuffle,632,790,234,0.5063291139240507,0.5342628205128205,0.5437414601881374,0.2985045344506332
