"window_s","task","dataset_id","shape_feature","shuffle_feature","shape_oriented_auc","shuffle_oriented_auc","order_advantage"
5,"cognitive_load_vs_baseline","catsa","bvp__shape__median","bvp__shuffle__median",0.507655844155844,0.507655844155844,0
5,"cognitive_load_vs_baseline","catsa","bvp__shape__mad","bvp__shuffle__mad",0.604396103896104,0.604396103896104,0
5,"cognitive_load_vs_baseline","catsa","bvp__shape__q10","bvp__shuffle__q10",0.580522727272727,0.580522727272727,0
5,"cognitive_load_vs_baseline","catsa","bvp__shape__q25","bvp__shuffle__q25",0.575038961038961,0.575038961038961,0
5,"cognitive_load_vs_baseline","catsa","bvp__shape__q75","bvp__shuffle__q75",0.574383116883117,0.574383116883117,0
5,"cognitive_load_vs_baseline","catsa","bvp__shape__q90","bvp__shuffle__q90",0.584866883116883,0.584866883116883,0
5,"cognitive_load_vs_baseline","catsa","bvp__shape__iqr","bvp__shuffle__iqr",0.605805194805195,0.605805194805195,0
5,"cognitive_load_vs_baseline","catsa","bvp__shape__skew","bvp__shuffle__skew",0.50048051948052,0.50048051948052,0
5,"cognitive_load_vs_baseline","catsa","bvp__shape__kurtosis","bvp__shuffle__kurtosis",0.531487012987013,0.531487012987013,0
5,"cognitive_load_vs_baseline","catsa","bvp__shape__rms_z","bvp__shuffle__rms_z",0.50838961038961,0.50838961038961,0
5,"cognitive_load_vs_baseline","catsa","bvp__shape__late_minus_early_z","bvp__shuffle__late_minus_early_z",0.501844155844156,0.508285714285714,-0.00644155844155847
5,"cognitive_load_vs_baseline","catsa","bvp__shape__last_minus_first_z","bvp__shuffle__last_minus_first_z",0.500649350649351,0.509194805194805,-0.00854545454545452
5,"cognitive_load_vs_baseline","catsa","bvp__shape__max_time_fraction","bvp__shuffle__max_time_fraction",0.505574675324675,0.5215,-0.0159253246753246
5,"cognitive_load_vs_baseline","catsa","bvp__shape__min_time_fraction","bvp__shuffle__min_time_fraction",0.514198051948052,0.514483766233766,-0.000285714285714334
