"window_s","task","dataset_id","feature","feature_group","auc","oriented_auc","both_class_subjects","subject_fixed_beta","subject_fixed_p","subject_fixed_fdr"
5,"cognitive_load_vs_baseline","catsa","bvp__quality__valid_count","quality",0.568532051282051,0.568532051282051,22,-0.0650989216270501,0.541632155367763,0.541632155367763
5,"cognitive_load_vs_baseline","catsa","bvp__base__mean","base",0.485564102564103,0.514435897435897,22,NA,NA,NA
5,"cognitive_load_vs_baseline","catsa","bvp__base__std","base",0.608121794871795,0.608121794871795,22,1.1469676475817,3.11688277695236e-06,3.76174795096657e-05
5,"cognitive_load_vs_baseline","catsa","bvp__base__min","base",0.402384615384615,0.597615384615385,22,-0.627132498724633,0.00021520184058419,0.000717339468613966
5,"cognitive_load_vs_baseline","catsa","bvp__base__max","base",0.595650641025641,0.595650641025641,22,0.815385126282789,5.22879609053233e-05,0.000190138039655721
5,"cognitive_load_vs_baseline","catsa","bvp__base__last","base",0.512365384615385,0.512365384615385,22,NA,NA,NA
5,"cognitive_load_vs_baseline","catsa","bvp__shape__median","shape",0.507655844155844,0.507655844155844,22,NA,NA,NA
5,"cognitive_load_vs_baseline","catsa","bvp__shape__mad","shape",0.604396103896104,0.604396103896104,22,0.774290278190228,1.94503065973863e-05,7.80281720448571e-05
5,"cognitive_load_vs_baseline","catsa","bvp__shape__q10","shape",0.419477272727273,0.580522727272727,22,-0.405537615245317,0.00178917688186993,0.00397594862637762
5,"cognitive_load_vs_baseline","catsa","bvp__shape__q25","shape",0.424961038961039,0.575038961038961,22,-0.240471627807531,0.0221849836302834,0.0422571116767303
5,"cognitive_load_vs_baseline","catsa","bvp__shape__q75","shape",0.574383116883117,0.574383116883117,22,0.40872433333289,0.000687865872900881,0.00183430899440235
5,"cognitive_load_vs_baseline","catsa","bvp__shape__q90","shape",0.584866883116883,0.584866883116883,22,0.679289836834546,1.95070430112143e-05,7.80281720448571e-05
