window_s,task,dataset_id,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base,632,790,30,0.5063291139240507,0.5822307692307693,0.5949026087567976,0.2559530694551024
5,cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base,632,790,30,0.5063291139240507,0.5287660256410258,0.5381232370610538,0.2606155392532225
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_distribution,632,790,90,0.5063291139240507,0.5272564102564102,0.5334229609184417,0.2847344851047815
5,cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_distribution,632,790,90,0.5063291139240507,0.5177820512820512,0.5304532528559183,0.2652763615259605
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal,632,790,174,0.5063291139240507,0.4952564102564102,0.4949060377307048,0.3214497646766546
5,cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal,632,790,174,0.5063291139240507,0.4923076923076923,0.495177377254259,0.2688601543693661
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_coupling,632,790,183,0.5063291139240507,0.4875769230769231,0.4905968789917779,0.3259747961969089
5,cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_coupling,632,790,183,0.5063291139240507,0.4883846153846154,0.4919089210474197,0.2694408956577128
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_shuffle,632,790,174,0.5063291139240507,0.5183525641025641,0.5253927043341873,0.3061952405427966
5,cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_shuffle,632,790,174,0.5063291139240507,0.5067884615384616,0.5259988055733149,0.257533166281358
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_temporal_reverse,632,790,174,0.5063291139240507,0.5005576923076922,0.4969683813453489,0.3198638451379034
5,cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_temporal_reverse,632,790,174,0.5063291139240507,0.4860897435897436,0.4882845417376035,0.2704819524358063
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shape,632,790,234,0.5063291139240507,0.5001410256410256,0.4999295471397337,0.3197831411736191
5,cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shape,632,790,234,0.5063291139240507,0.4899679487179487,0.4979502790033472,0.2735747159743397
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shape_coupling,632,790,243,0.5063291139240507,0.4976987179487179,0.4964721455460503,0.3238226056106317
5,cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shape_coupling,632,790,243,0.5063291139240507,0.4853141025641025,0.495152160564541,0.2740025591340724
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_shuffle,632,790,234,0.5063291139240507,0.5342628205128205,0.5437414601881374,0.2985045344506332
5,cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_shuffle,632,790,234,0.5063291139240507,0.4993589743589743,0.5276610845200513,0.2629608165261725
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,base_reverse,632,790,234,0.5063291139240507,0.4978076923076923,0.4915221815122391,0.3219774623033542
5,cognitive_load_vs_baseline,catsa,group_subject_cv,extra_trees,base_reverse,632,790,234,0.5063291139240507,0.4761217948717948,0.4898547978181947,0.2760471238935188
5,cognitive_load_vs_baseline,catsa,group_subject_cv,logistic,quality_only,632,790,20,0.5063291139240507,0.497076923076923,0.4962246783969662,0.2605710780948076
