"experiment","train_condition","test_condition","model","train_rows","test_rows","train_subjects","test_subjects","test_positive_rate","auc","accuracy","brier"
"subject_holdout","real","real","glm_unweighted",149059,102431,69,30,0.316349542618934,0.853139071367445,0.796868135623005,0.158886290440819
"subject_holdout","real","real","glm_balanced",149059,102431,69,30,0.316349542618934,0.853086464998625,0.798410637404692,0.160608664262609
"subject_holdout","synthetic","synthetic","glm_unweighted",180018,76782,140,60,0.4875100935115,0.810161670884508,0.764489072959808,0.172082918714877
"subject_holdout","synthetic","synthetic","glm_balanced",180018,76782,140,60,0.4875100935115,0.810471395075947,0.766937563491443,0.171906528037752
"source_transfer","real_other","NEURO","glm_unweighted",227744,23746,79,20,0.547923860860777,0.443267713317852,0.466731238945507,0.345119545355197
"source_transfer","real_other","NEURO","glm_balanced",227744,23746,79,20,0.547923860860777,0.443486918041511,0.459024677840478,0.340113554615814
"source_transfer","synthetic_only","NEURO","glm_unweighted",256800,23746,200,20,0.547923860860777,0.539607756211585,0.514991998652405,0.351938444599753
"source_transfer","synthetic_only","NEURO","glm_balanced",256800,23746,200,20,0.547923860860777,0.539014420709616,0.514991998652405,0.352066810580173
"source_transfer","real_other_plus_synthetic","NEURO","glm_unweighted",484544,23746,279,20,0.547923860860777,0.523655978530151,0.500800134759538,0.314798998165065
"source_transfer","real_other_plus_synthetic","NEURO","glm_balanced",484544,23746,279,20,0.547923860860777,0.523033711183511,0.516550155815716,0.313974517532141
"source_transfer","real_other","SWELL","glm_unweighted",93865,157625,90,9,0.285678033306899,0.449401525439218,0.713750991276764,0.207004719845876
"source_transfer","real_other","SWELL","glm_balanced",93865,157625,90,9,0.285678033306899,0.396379701846661,0.714195083267248,0.214347190083795
"source_transfer","synthetic_only","SWELL","glm_unweighted",256800,157625,200,9,0.285678033306899,0.552657189615102,0.703283108643933,0.205198452548146
"source_transfer","synthetic_only","SWELL","glm_balanced",256800,157625,200,9,0.285678033306899,0.554690510957673,0.700745440126883,0.205129679142911
"source_transfer","real_other_plus_synthetic","SWELL","glm_unweighted",350665,157625,290,9,0.285678033306899,0.416967468742091,0.713655828707375,0.212407171245259
"source_transfer","real_other_plus_synthetic","SWELL","glm_balanced",350665,157625,290,9,0.285678033306899,0.411114563341024,0.713846153846154,0.210497009860947
"source_transfer","real_other","UBFC","glm_unweighted",212921,38569,43,56,0.984417537400503,0.225166604086601,0.915709507635666,0.0759903342709141
"source_transfer","real_other","UBFC","glm_balanced",212921,38569,43,56,0.984417537400503,0.275620686445473,0.910523995955301,0.077813476689606
"source_transfer","synthetic_only","UBFC","glm_unweighted",256800,38569,200,56,0.984417537400503,0.416893387934002,0.861261634991833,0.124128350151682
"source_transfer","synthetic_only","UBFC","glm_balanced",256800,38569,200,56,0.984417537400503,0.415907357487486,0.863854390832015,0.122161108470601
"source_transfer","real_other_plus_synthetic","UBFC","glm_unweighted",469721,38569,243,56,0.984417537400503,0.362703345772217,0.967564624439317,0.0300179097130794
"source_transfer","real_other_plus_synthetic","UBFC","glm_balanced",469721,38569,243,56,0.984417537400503,0.365063245307547,0.975342891959864,0.02327150664131
"source_transfer","real_other","WESAD","glm_unweighted",219940,31550,85,14,0.302218700475436,0.581141046392905,0.610301109350238,0.232768697940829
"source_transfer","real_other","WESAD","glm_balanced",219940,31550,85,14,0.302218700475436,0.577232522850833,0.562820919175911,0.248891194708248
"source_transfer","synthetic_only","WESAD","glm_unweighted",256800,31550,200,14,0.302218700475436,0.596581727122459,0.573343898573693,0.271360663176339
"source_transfer","synthetic_only","WESAD","glm_balanced",256800,31550,200,14,0.302218700475436,0.59756106130146,0.567797147385103,0.274571257526595
"source_transfer","real_other_plus_synthetic","WESAD","glm_unweighted",476740,31550,285,14,0.302218700475436,0.609132996868584,0.621933438985737,0.22774264099015
"source_transfer","real_other_plus_synthetic","WESAD","glm_balanced",476740,31550,285,14,0.302218700475436,0.610043731207246,0.591473851030111,0.234088952667743
